quad,quad1,tran,era,density,year,census,logDens,densM,recruitMfinal
SC1_63,SC1_63,SC1,modern,12,2009,NA,2.564949357,133.3333333,NA
SC1_64,SC1_64,SC1,modern,2,2009,NA,1.098612289,22.22222222,NA
SC4_36,SC4_36,SC4,modern,7,2009,NA,2.079441542,77.77777778,NA
SC4_45,SC4_45,SC4,modern,4,2009,NA,1.609437912,44.44444444,NA
SC4_51,SC4_51,SC4,modern,1,2009,NA,0.693147181,11.11111111,NA
SC4_52,SC4_52,SC4,modern,0,2009,NA,0,0,NA
SC5_34,SC5_34,SC5,modern,13,2009,NA,2.63905733,144.4444444,NA
SC5_47,SC5_47,SC5,modern,13,2009,NA,2.63905733,144.4444444,NA
SC5_49,SC5_49,SC5,modern,12,2009,NA,2.564949357,133.3333333,NA
SC5_50,SC5_50,SC5,modern,18,2009,NA,2.944438979,200,NA
SC6_14,SC6_14,SC6,modern,0,2009,NA,0,0,NA
SC6_18,SC6_18,SC6,modern,3,2009,NA,1.386294361,33.33333333,NA
SC6_21,SC6_21,SC6,modern,11,2009,NA,2.48490665,122.2222222,NA
SC6_33,SC6_33,SC6,modern,1,2009,NA,0.693147181,11.11111111,NA
SC7_2,SC7_2,SC7,modern,11,2009,NA,2.48490665,122.2222222,NA
SC7_3,SC7_3,SC7,modern,10,2009,NA,2.397895273,111.1111111,NA
SC7_4,SC7_4,SC7,modern,14,2009,NA,2.708050201,155.5555556,NA
SC7_5,SC7_5,SC7,modern,6,2009,NA,1.945910149,66.66666667,NA
SC8_37,SC8_37,SC8,modern,0,2009,NA,0,0,NA
SC8_38,SC8_38,SC8,modern,48,2009,NA,3.891820298,533.3333333,NA
SC8_39,SC8_39,SC8,modern,0,2009,NA,0,0,NA
SC8_40,SC8_40,SC8,modern,0,2009,NA,0,0,NA
SC1_54,SC1_54,SC1,modern,40,2010,Final,3.713572067,444.4444444,111.1111111
SC1_62,SC1_62,SC1,modern,11,2010,Final,2.48490665,122.2222222,66.66666667
SC1_63,SC1_63,SC1,modern,11,2010,Final,2.48490665,122.2222222,33.33333333
SC1_64,SC1_64,SC1,modern,2,2010,Final,1.098612289,22.22222222,11.11111111
SC4_36,SC4_36,SC4,modern,9,2010,Final,2.302585093,100,22.22222222
SC4_45,SC4_45,SC4,modern,3,2010,Final,1.386294361,33.33333333,0
SC4_51,SC4_51,SC4,modern,1,2010,Final,0.693147181,11.11111111,0
SC4_52,SC4_52,SC4,modern,0,2010,Final,0,0,0
SC5_34,SC5_34,SC5,modern,14,2010,Final,2.708050201,155.5555556,66.66666667
SC5_47,SC5_47,SC5,modern,11,2010,Final,2.48490665,122.2222222,22.22222222
SC5_49,SC5_49,SC5,modern,7,2010,Final,2.079441542,77.77777778,22.22222222
SC5_50,SC5_50,SC5,modern,17,2010,Final,2.890371758,188.8888889,11.11111111
SC6_14,SC6_14,SC6,modern,0,2010,Final,0,0,0
SC6_18,SC6_18,SC6,modern,3,2010,Final,1.386294361,33.33333333,11.11111111
SC6_21,SC6_21,SC6,modern,10,2010,Final,2.397895273,111.1111111,0
SC6_33,SC6_33,SC6,modern,1,2010,Final,0.693147181,11.11111111,0
SC7_2,SC7_2,SC7,modern,8,2010,Final,2.197224577,88.88888889,11.11111111
SC7_3,SC7_3,SC7,modern,10,2010,Final,2.397895273,111.1111111,11.11111111
SC7_4,SC7_4,SC7,modern,15,2010,Final,2.772588722,166.6666667,33.33333333
SC7_5,SC7_5,SC7,modern,7,2010,Final,2.079441542,77.77777778,22.22222222
SC8_37,SC8_37,SC8,modern,0,2010,Final,0,0,0
SC8_38,SC8_38,SC8,modern,43,2010,Final,3.784189634,477.7777778,122.2222222
SC8_39,SC8_39,SC8,modern,0,2010,Final,0,0,0
SC8_40,SC8_40,SC8,modern,0,2010,Final,0,0,0
A1,A,A,historic,NA,1969,Initial,NA,0,NA
A2,A,A,historic,NA,1969,Initial,NA,0,NA
A3,A,A,historic,NA,1969,Initial,NA,108.6680914,NA
A4,A,A,historic,NA,1969,Initial,NA,0,NA
B1,B,B,historic,NA,1969,Initial,NA,468.9203926,NA
B2,B,B,historic,NA,1969,Initial,NA,328.2626101,NA
B3,B,B,historic,NA,1969,Initial,NA,325.3292022,NA
B4,B,B,historic,NA,1969,Initial,NA,536.6949576,NA
C1,C,C,historic,NA,1969,Initial,NA,0,NA
C2,C,C,historic,NA,1969,Initial,NA,0,NA
C3,C,C,historic,NA,1969,Initial,NA,0,NA
C4,C,C,historic,NA,1969,Initial,NA,0,NA
D1,D,D,historic,NA,1969,Initial,NA,233.9901478,NA
D2,D,D,historic,NA,1969,Initial,NA,49.38271605,NA
D3,D,D,historic,NA,1969,Initial,NA,281.6901408,NA
D4,D,D,historic,NA,1969,Initial,NA,220.7505519,NA
A1,A,A,historic,NA,1972,Final,NA,0,0
A2,A,A,historic,NA,1972,Final,NA,0,0
A3,A,A,historic,NA,1972,Final,NA,117.7237657,9.055674286
A4,A,A,historic,NA,1972,Final,NA,0,0
B1,B,B,historic,NA,1972,Final,NA,545.2562704,54.52562704
B2,B,B,historic,NA,1972,Final,NA,352.2818255,56.04483587
B3,B,B,historic,NA,1972,Final,NA,410.5344694,85.20526723
B4,B,B,historic,NA,1972,Final,NA,536.6949576,49.92511233
C1,C,C,historic,NA,1972,Final,NA,0,0
C2,C,C,historic,NA,1972,Final,NA,0,0
C3,C,C,historic,NA,1972,Final,NA,0,0
C4,C,C,historic,NA,1972,Final,NA,0,0
D1,D,D,historic,NA,1972,Final,NA,270.9359606,49.26108374
D2,D,D,historic,NA,1972,Final,NA,37.03703704,0
D3,D,D,historic,NA,1972,Final,NA,NA,NA
D4,D,D,historic,NA,1972,Final,NA,220.7505519,22.07505519
